# Measurement file: 
 # Project: HPK 6 inch 2018
 # Sensor Type: 2S
 # ID: VPX28442_11_2S
 # Operator: Dominic
 # Date: Wed Feb 27 08:48:27 2019


# implant_width: 22
# implant_length: 0
# metal_width: 32
# Campaign: Hamamatsu 6inch 2S
# Creator: Dominic Bloech 03.12.2018
# type: p-type
# pitch: 90
# metal_length: 49504
# thickness: 240


 Pad	            Istrip	                Rpoly	                Idark	                Cac	                   Cint	    Idiel	                Rint	                Temperature	                    Humidity
 #	Current[A]	Resistance[Ohms]	Current[A]	Capacitance[F]	Capacitance[F]	Current[A]	Resistance[Ohms]	[Degree C]	[RH%]
172	9.73E-11	1699353.82	8.71827E-11	7.04251E-11	3.65236E-12	8.71827E-11	94129500000	20	20
173	9.99E-11	1685799.73	8.74768E-11	7.05162E-11	3.65564E-12	8.74768E-11	94964300000	20	20
174	9.91E-11	1682738.42	9.05061E-11	7.05734E-11	3.65089E-12	9.05061E-11	78436200000	20	20
175	9.46E-11	1704915.42	8.43719E-11	7.06962E-11	3.65183E-12	8.43719E-11	1.05519E+11	20	20
176	9.86E-11	1685700.25	8.83398E-11	3.03083E-12	3.25712E-12	8.83398E-11	78383800000	20	20
177	9.86E-11	1688983.24	8.91576E-11	6.74231E-11	3.26312E-12	8.91576E-11	1.10165E+11	20	20
178	1.01E-10	1689854.59	8.33936E-11	7.09217E-11	3.65559E-12	8.33936E-11	76471600000	20	20
179	1.01E-10	1677228.41	8.66875E-11	7.02599E-11	3.65062E-12	8.66875E-11	94935900000	20	20
180	9.90E-11	1688093.89	9.25766E-11	7.04921E-11	3.65168E-12	9.25766E-11	68488800000	20	20
181	9.92E-11	1691128.06	9.31951E-11	7.02126E-11	3.65512E-12	9.31951E-11	1.02148E+11	20	20
182	1.02E-10	1676882.9	8.85285E-11	6.94894E-11	3.26398E-12	8.85285E-11	1.06885E+11	20	20
183	1.01E-10	1702725.43	8.84104E-11	7.05484E-11	3.65509E-12	8.84104E-11	1.40109E+11	20	20
184	1.01E-10	1689747.18	8.55153E-11	7.08956E-11	3.65391E-12	8.55153E-11	84100000000	20	20
185	9.98E-11	1688739.37	8.77451E-11	6.63989E-11	3.25894E-12	8.77451E-11	1.04305E+11	20	20
186	1.02E-10	1695452.1	8.78995E-11	4.70617E-12	3.25312E-12	8.78995E-11	1.37106E+11	20	20
187	9.83E-11	1681799.62	9.03658E-11	7.0568E-11	3.65065E-12	9.03658E-11	71961000000	20	20
188	9.99E-11	1700548.59	8.53118E-11	5.71784E-11	3.25596E-12	8.53118E-11	60795200000	20	20
189	1.02E-10	1683214.97	8.88578E-11	7.03978E-11	3.64352E-12	8.88578E-11	1.05943E+11	20	20
 									
